date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2025-06-10,60760.0,1.4980319970859952,1.0,1.0,1.0,fund_only,range
2025-06-11,61740.0,1.522193803490608,1.0,1.0,1.0,fund_only,range
2025-06-12,60480.0,1.4911286238275343,1.0,1.0,1.0,fund_only,range
2025-06-13,59800.0,1.4743632887712723,1.0,1.0,1.0,fund_only,range
2025-06-16,59780.0,1.4738701906813823,1.0,1.0,1.0,fund_only,range
2025-06-17,59860.0,1.4758425830409425,1.0,1.0,1.0,fund_only,range
2025-06-18,59880.0,1.4763356811308326,1.0,1.0,1.0,fund_only,range
2025-06-19,60060.0,1.480773563939843,1.0,1.0,1.0,fund_only,range
2025-06-20,58900.0,1.4521738747262196,1.0,1.0,1.0,fund_only,range
2025-06-23,59120.0,1.45759795371501,1.0,1.0,1.0,fund_only,range
2025-06-24,60700.0,1.4965527028163246,1.0,1.0,1.0,fund_only,range
2025-06-25,60880.0,1.5009905856253352,1.0,1.0,1.0,fund_only,range
2025-06-26,61500.0,1.5103399226488867,0.7,1.0,1.0,fund_only,range
2025-06-27,63300.0,1.5531856876252996,1.0,1.0,1.0,both_same,range
2025-06-30,62260.0,1.5276673129786913,1.0,1.0,1.0,both_same,range
2025-07-01,62780.0,1.5352238435233236,0.7,1.0,1.0,fund_only,range
2025-07-02,63960.0,1.5554228701998174,0.7,1.0,1.0,fund_only,range
2025-07-03,64080.0,1.5574656394477349,0.7,1.0,1.0,fund_only,range
2025-07-04,63280.0,1.5438548286161067,0.7,1.0,1.0,fund_only,range
2025-07-07,63660.0,1.5503444838691391,0.7,1.0,1.0,fund_only,range
2025-07-08,63880.0,1.554094924499297,0.7,1.0,1.0,fund_only,range
2025-07-09,64400.0,1.5629504434804764,0.7,1.0,1.0,fund_only,range
2025-07-10,64180.0,1.559212953289545,0.7,1.0,1.0,fund_only,range
2025-07-11,64280.0,1.560913559502232,0.7,1.0,1.0,fund_only,range
2025-07-14,66480.0,1.5983094350721363,0.7,1.0,1.0,fund_only,range
2025-07-15,66660.0,1.5949529852584847,0.0,1.0,1.0,flat,range
2025-07-16,66420.0,1.5949529852584847,0.0,1.0,1.0,flat,range
2025-07-17,67960.0,1.6271483671533276,1.0,1.0,1.0,ham_only,uptrend
2025-07-18,69960.0,1.6750338399948028,1.0,1.0,1.0,ham_only,uptrend
2025-07-21,71280.0,1.7066382520701764,1.0,1.0,1.0,ham_only,uptrend
2025-07-22,72880.0,1.7449466303433563,1.0,1.0,1.0,ham_only,uptrend
2025-07-23,69380.0,1.8182765280338777,-1.0,1.0,1.0,ham_only,uptrend
2025-07-24,76680.0,1.626961759301573,-1.0,1.0,1.0,ham_only,uptrend
2025-07-25,80520.0,1.6756970296160756,0.7,0.7,1.0,ham_only,uptrend
2025-07-28,73120.0,1.6200372086055,0.35,0.7,0.5,ham_only,uptrend
2025-07-29,70840.0,1.6183361695364642,0.0,0.7,0.5,flat,uptrend
2025-07-30,70600.0,1.6183361695364642,0.0,0.7,0.5,flat,range
2025-07-31,68280.0,1.628484512675976,-0.21,0.7,0.5,ham_only,range
2025-08-01,68920.0,1.6252790598566489,-0.21,0.7,0.5,ham_only,range
2025-08-04,68920.0,1.624255134048939,0.0,0.7,0.5,flat,range
2025-08-05,67840.0,1.624255134048939,0.0,0.7,0.5,flat,range
2025-08-06,69620.0,1.6321815374110022,0.21,0.7,0.5,ham_only,range
2025-08-07,72300.0,1.6287828229610517,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-08,76960.0,1.6251084871598769,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-11,81000.0,1.622122645942564,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-12,82520.0,1.6210572518096733,-0.03499999999999999,0.7,0.5,both_opp,uptrend
