date,equity_A,equity_B,daily_ret_A
2025-07-29,1.7546923102077814,0.7380575239860391,0.0
2025-07-30,1.7546923102077814,0.7380575239860391,0.0
2025-07-31,1.789289076437374,0.7380575239860391,0.01971671388101983
2025-08-01,1.789289076437374,0.7358820278506303,0.0
2025-08-04,1.789289076437374,0.7337129442010798,0.0
2025-08-05,1.789289076437374,0.7337129442010798,0.0
2025-08-06,1.8174577193270425,0.7337129442010798,0.015742924528301887
2025-08-07,1.8594351972454262,0.756880908848106,0.023096811261131858
2025-08-08,1.9313436455372408,0.7807804328742165,0.03867219917012448
2025-08-11,1.9921749474704822,0.8054346162423679,0.0314968814968815
2025-08-12,2.0146053616938535,0.8308672883276518,0.011259259259259259
2025-08-13,2.0523975223809847,0.8571030309494557,0.018759088705768298
2025-08-14,2.0523975223809847,0.8841672021308952,0.0
2025-08-15,2.0523975223809847,0.9120859606084813,0.0
2025-08-18,2.085557086494022,0.9120859606084813,0.01615650172612198
2025-08-19,2.085557086494022,0.8911512948589845,0.0
2025-08-20,2.085557086494022,0.8706971323174865,0.0
2025-08-21,2.085557086494022,0.8706971323174865,0.0
2025-08-22,2.18131732004498,0.8706971323174865,0.045915901401643304
2025-08-25,2.18131732004498,0.8787430187809387,0.0
2025-08-26,2.18131732004498,0.8868632551952292,0.0
2025-08-27,2.18131732004498,0.8868632551952292,0.0
2025-08-28,2.18131732004498,0.8868632551952292,0.0
2025-08-29,2.18131732004498,0.8868632551952292,0.0
2025-09-01,2.18131732004498,0.8868632551952292,0.0
2025-09-02,2.2322416682789576,0.8868632551952292,0.023345685547908945
2025-09-03,2.2322416682789576,0.8838665516403655,0.0
2025-09-04,2.2322416682789576,0.8808799739218618,0.0
2025-09-05,2.2322416682789576,0.8779034878246013,0.0
2025-09-08,2.2322416682789576,0.8779034878246013,0.0
2025-09-09,2.2322416682789576,0.8779034878246013,0.0
2025-09-10,2.2322416682789576,0.8779034878246013,0.0
2025-09-11,2.2322416682789576,0.8779034878246013,0.0
2025-09-12,2.2322416682789576,0.8779034878246013,0.0
2025-09-15,2.2322416682789576,0.8779034878246013,0.0
2025-09-16,2.2322416682789576,0.8779034878246013,0.0
2025-09-17,2.2322416682789576,0.8779034878246013,0.0
2025-09-18,2.2322416682789576,0.8779034878246013,0.0
2025-09-19,2.2322416682789576,0.8779034878246013,0.0
2025-09-22,2.2322416682789576,0.8779034878246013,0.0
2025-09-23,2.2322416682789576,0.8779034878246013,0.0
2025-09-24,2.2322416682789576,0.8779034878246013,0.0
2025-09-25,2.2322416682789576,0.8779034878246013,0.0
2025-09-26,2.2322416682789576,0.8779034878246013,0.0
2025-09-29,2.2322416682789576,0.8779034878246013,0.0
2025-09-30,2.2322416682789576,0.8779034878246013,0.0
2025-10-09,2.2322416682789576,0.8779034878246013,0.0
2025-10-10,2.2322416682789576,0.8779034878246013,0.0
2025-10-13,2.2322416682789576,0.8779034878246013,0.0
2025-10-14,2.2322416682789576,0.8779034878246013,0.0
2025-10-15,2.2322416682789576,0.8779034878246013,0.0
2025-10-16,2.2322416682789576,0.8779034878246013,0.0
2025-10-17,2.2322416682789576,0.8779034878246013,0.0
2025-10-20,2.2322416682789576,0.8779034878246013,0.0
2025-10-21,2.2322416682789576,0.8779034878246013,0.0
2025-10-22,2.2322416682789576,0.8779034878246013,0.0
2025-10-23,2.2322416682789576,0.8779034878246013,0.0
2025-10-24,2.2322416682789576,0.8779034878246013,0.0
2025-10-27,2.272327698237488,0.8779034878246013,0.01795774647887324
2025-10-28,2.272327698237488,0.880029391368647,0.0
2025-10-29,2.272327698237488,0.8821604429340201,0.0
2025-10-30,2.272327698237488,0.8821604429340201,0.0
2025-10-31,2.315158623197072,0.8821604429340201,0.018848920863309353
2025-11-03,2.315158623197072,0.8730208655859801,0.0
2025-11-04,2.4198303548243585,0.8639759783532927,0.04521147301895965
2025-11-05,2.4198303548243585,0.8569524836776583,0.0
2025-11-06,2.4198303548243585,0.8499860848920655,0.0
2025-11-07,2.4198303548243585,0.8499860848920655,0.0
2025-11-10,2.4198303548243585,0.8499860848920655,0.0
2025-11-11,2.4198303548243585,0.8499860848920655,0.0
2025-11-12,2.4198303548243585,0.8499860848920655,0.0
2025-11-13,2.4198303548243585,0.8499860848920655,0.0
2025-11-14,2.4198303548243585,0.8499860848920655,0.0
2025-11-17,2.636994617436801,0.8499860848920655,0.08974358974358974
2025-11-18,2.636994617436801,0.8381083687390468,0.0
2025-11-19,2.799973968257852,0.8263966319397131,0.06180496150556031
2025-11-20,2.799973968257852,0.8013043380542774,0.0
2025-11-21,2.799973968257852,0.7769739340266877,0.0
2025-11-24,2.799973968257852,0.7769739340266877,0.0
2025-11-25,2.8913259040922594,0.7769739340266877,0.03262599469496021
2025-11-26,2.8913259040922594,0.7685655402372731,0.0
2025-11-27,2.8913259040922594,0.7602481418893032,0.0
2025-11-28,2.8913259040922594,0.7520207542322336,0.0
2025-12-01,2.8913259040922594,0.7520207542322336,0.0
2025-12-02,2.8913259040922594,0.7520207542322336,0.0
2025-12-03,2.8913259040922594,0.7520207542322336,0.0
2025-12-04,2.8913259040922594,0.7520207542322336,0.0
2025-12-05,2.8913259040922594,0.7520207542322336,0.0
2025-12-08,2.8913259040922594,0.7520207542322336,0.0
2025-12-09,2.8913259040922594,0.7520207542322336,0.0
2025-12-10,2.8913259040922594,0.7520207542322336,0.0
2025-12-11,2.8913259040922594,0.7520207542322336,0.0
2025-12-12,2.8913259040922594,0.7520207542322336,0.0
2025-12-15,2.8913259040922594,0.7520207542322336,0.0
2025-12-16,2.8913259040922594,0.7520207542322336,0.0
2025-12-17,3.121827233623273,0.7520207542322336,0.07972166998011929
2025-12-18,3.121827233623273,0.7484282356104238,0.0
2025-12-19,3.121827233623273,0.7448528790017306,0.0
2025-12-22,3.121827233623273,0.7448528790017306,0.0
2025-12-23,3.219756208218834,0.7448528790017306,0.03136912047560762
2025-12-24,3.289736951328676,0.7486259862084771,0.02173479561316052
2025-12-25,3.289736951328676,0.7524182063681234,0.0
2025-12-26,3.4015965303084394,0.7562296362987423,0.03400259067357513
2025-12-29,3.4015965303084394,0.7178081603164671,0.0
2025-12-30,3.4015965303084394,0.6813387498785703,0.0
2025-12-31,3.4015965303084394,0.6813387498785703,0.0
2026-01-05,3.6366138921655784,0.6813387498785703,0.06909031090639908
2026-01-06,3.8593208207825813,0.6929027538268299,0.0612401907985844
2026-01-07,3.9813060228893815,0.7046630275268673,0.03160794548354357
2026-01-08,3.9813060228893815,0.7166229021618641,0.0
2026-01-09,3.9813060228893815,0.7287857654534204,0.0
2026-01-12,4.3321894988991545,0.7287857654534204,0.0881327569376656
2026-01-13,4.6353261727936745,0.7220416051159705,0.06997308727412534
2026-01-14,4.6353261727936745,0.715359855024183,0.0
2026-01-15,4.6353261727936745,0.7087399376356258,0.0
2026-01-16,5.118681469086704,0.7087399376356258,0.10427643671118736
2026-01-19,5.118681469086704,0.7031151546888347,0.0
2026-01-20,5.118681469086704,0.6975350117877337,0.0
2026-01-21,5.118681469086704,0.6975350117877337,0.0
2026-01-22,5.118681469086704,0.6975350117877337,0.0
2026-01-23,5.350505151689492,0.6975350117877337,0.04528972627088518
2026-01-26,5.350505151689492,0.6549801782863829,0.0
2026-01-27,5.620226415734101,0.6150215067320668,0.05041042974408498
2026-01-28,5.620226415734101,0.592471844564907,0.0
2026-01-29,5.620226415734101,0.5707489620441288,0.0
2026-01-30,5.620226415734101,0.5707489620441288,0.0
2026-02-02,5.620226415734101,0.5707489620441288,0.0
2026-02-03,6.018955254470417,0.5707489620441288,0.07094533373603142
2026-02-04,6.018955254470417,0.5619023531324449,0.0
2026-02-05,6.018955254470417,0.553192866658892,0.0
