datetime,open,high,low,close,volume,hold
2026-09-10 10:04:00,142200.0,142240.0,142140.0,142200.0,184,408093
2026-09-10 10:05:00,142160.0,142220.0,141960.0,142060.0,169,408114
2026-09-10 10:06:00,142000.0,142000.0,141780.0,141920.0,207,408098
2026-09-10 10:07:00,141920.0,142120.0,141920.0,142120.0,168,408109
2026-09-10 10:08:00,142120.0,142160.0,141900.0,142020.0,245,408173
2026-09-10 10:09:00,142000.0,142080.0,142000.0,142040.0,100,408196
2026-09-10 10:10:00,142040.0,142060.0,141960.0,142040.0,309,408207
2026-09-10 10:11:00,142040.0,142140.0,141940.0,142040.0,223,408168
2026-09-10 10:12:00,142040.0,142040.0,141960.0,141960.0,39,408174
2026-09-10 10:13:00,141960.0,141960.0,141760.0,141940.0,258,408212
2026-09-10 10:14:00,141940.0,142160.0,141940.0,141960.0,212,408188
2026-09-10 10:15:00,141920.0,141980.0,141800.0,141920.0,170,408130
2026-09-10 10:31:00,141920.0,142080.0,141760.0,142020.0,234,408186
2026-09-10 10:32:00,142020.0,142220.0,142020.0,142220.0,199,408184
2026-09-10 10:33:00,142000.0,142160.0,141760.0,141760.0,277,408243
2026-09-10 10:34:00,141760.0,141900.0,141400.0,141540.0,1357,408646
2026-09-10 10:35:00,141540.0,141700.0,141400.0,141640.0,412,408687
2026-09-10 10:36:00,141620.0,141700.0,141580.0,141660.0,285,408756
2026-09-10 10:37:00,141720.0,141780.0,141100.0,141200.0,2061,409312
2026-09-10 10:38:00,141020.0,141420.0,141020.0,141400.0,1610,409635
2026-09-10 10:39:00,141440.0,142100.0,141400.0,142040.0,967,409646
2026-09-10 10:40:00,142040.0,142160.0,141520.0,141640.0,1112,409854
2026-09-10 10:41:00,141400.0,141680.0,141000.0,141200.0,3469,409859
2026-09-10 10:42:00,141120.0,141220.0,140700.0,140960.0,2659,410654
2026-09-10 10:43:00,141000.0,141300.0,140740.0,140840.0,1657,410832
2026-09-10 10:44:00,140800.0,140840.0,140320.0,140500.0,4132,411273
2026-09-10 10:45:00,140440.0,140880.0,140380.0,140840.0,1489,411454
2026-09-10 10:46:00,140840.0,141100.0,140800.0,141020.0,1199,411359
2026-09-10 10:47:00,141040.0,141040.0,140580.0,140600.0,820,411380
2026-09-10 10:48:00,140920.0,141060.0,140500.0,140780.0,1124,411609
2026-09-10 10:49:00,140520.0,140860.0,140380.0,140380.0,1290,411939
2026-09-10 10:50:00,140500.0,140760.0,140320.0,140500.0,970,412006
2026-09-10 10:51:00,140500.0,140560.0,140300.0,140380.0,1351,412294
2026-09-10 10:52:00,140200.0,140740.0,140200.0,140740.0,1707,412624
2026-09-10 10:53:00,140620.0,140720.0,140460.0,140500.0,742,412895
2026-09-10 10:54:00,140500.0,140520.0,140200.0,140200.0,756,413028
