date,dir_disagreement,disagreement_vol,disagreement_decay,ham_dev_mean,ham_n_f_minus_n_c,fwd20_ret
2024-08-06,1.0,432.0544556321331,0.03465735882799732,0.350020843679853,-1.0,-0.0781538461538461
2024-08-07,1.0,416.6438590248965,0.045285431064471006,0.3441008914695782,-1.0,-0.0834371108343711
2024-08-08,1.0,415.33911319230265,-0.047223080354740946,0.3443715467402334,-1.0,-0.0987261146496815
2024-08-09,1.0,416.98321309136645,0.009552761819828892,0.3392034646453998,-1.0,-0.0818826563507414
2024-08-12,1.0,338.61900263772617,0.039276024999443736,0.335414200697908,-1.0,-0.0374999999999999
2024-08-13,-1.0,336.91713802467336,-0.008125946457241606,0.3435256612150289,-1.0,-0.062987012987013
2024-08-14,1.0,419.82139059366665,-0.029955911522470367,0.3512224204742882,-1.0,0.0680735194009529
2024-08-15,1.0,420.1718789908921,0.0023260007774157155,0.3542014864968325,-1.0,0.0628453038674032
2024-08-16,-1.0,422.80975876304365,0.06065113186452862,0.358831116126462,-1.0,0.0630568882796436
2024-08-19,-1.0,429.87720094782514,0.031799438231424726,0.3547059173080117,-1.0,0.0258855585831063
2024-08-20,-1.0,431.5364228086968,-0.02106067322107703,0.3614561431436034,-1.0,0.0093333333333334
2024-08-21,-1.0,468.3467563787822,-0.05323553678410413,0.3718349310223913,-1.0,-0.0333761232349165
2024-08-22,1.0,462.33105022267324,-0.13966039984627543,0.3811767427136006,-1.0,-0.0079522862823061
2024-08-23,1.0,466.8553816423465,-0.02798078936105679,0.3858152434898259,-1.0,0.0470347648261759
2024-08-26,-1.0,455.8447190598317,0.044804401168648166,0.3905043969289793,-1.0,0.0255548083389374
2024-08-27,-1.0,447.8016478190692,0.01115717755459944,0.3933073774242675,-1.0,0.0118187787261982
2024-08-28,1.0,460.99684609036444,0.06772728295478173,0.3929860266617402,-1.0,0.0158415841584158
2024-08-29,-1.0,457.7476321477175,0.02599377292744045,0.3927521085330853,-1.0,0.0377358490566037
2024-08-30,-1.0,443.7430503532896,-0.1307479882839237,0.3963546063797692,-1.0,-0.0285171102661596
2024-09-02,1.0,499.11764249787,-0.10007399983753318,0.4086458716334622,-1.0,0.0159574468085106
2024-09-03,1.0,497.41932696881133,-0.009116077773031006,0.3990577490280982,-1.0,-0.0160213618157543
2024-09-04,1.0,493.2705033485017,-0.01568287791441192,0.3969598654302146,-1.0,0.0040760869565217
2024-09-05,1.0,513.0068097424295,-0.022976616448454102,0.4101059092012584,-1.0,0.0332155477031801
2024-09-06,-1.0,524.6725169093575,0.03736071997455206,0.4124960535829282,-1.0,0.0308988764044944
2024-09-09,-1.0,525.9999874924954,-0.011478722068990855,0.4217209807572936,-1.0,-0.0273410799726588
2024-09-10,1.0,525.9999874924954,6.661338147750939e-17,0.4162037037037037,-1.0,-0.0492030492030491
2024-09-11,-1.0,714.3777196384203,-0.028680101483212074,0.424537037037037,-1.0,-0.0994263862332696
2024-09-12,1.0,710.211004598374,-0.017833747168365145,0.4287962962962962,-1.0,-0.0584795321637426
2024-09-13,-1.0,709.0857716658453,-0.004350568834329915,0.4244444444444444,-1.0,-0.0490006447453256
2024-09-18,1.0,692.6968654241342,-0.08047189544392716,0.4257407407407407,-1.0,-0.0006640106241699
2024-09-19,-1.0,711.8082976698003,0.0693147178684946,0.4188888888888888,-1.0,-0.0198150594451783
2024-09-20,1.0,716.7589699840746,0.09905007322781201,0.4087962962962963,-1.0,-0.0079681274900398
2024-09-23,1.0,723.8829870547922,0.0847297858573145,0.3998148148148148,-1.0,0.023380093520374
2024-09-24,-1.0,722.6993897152099,0.003705398604023169,0.4113888888888888,-1.0,-0.0247395833333333
2024-09-25,1.0,729.234458001569,0.0298918499559629,0.4057407407407407,-1.0,-0.0314754098360655
2024-09-26,-1.0,733.5521005426447,0.040546510741372076,0.406574074074074,-1.0,-0.0285528877352368
2024-09-27,1.0,740.2879951677413,0.06931471730599462,0.4027777777777777,-1.0,-0.0058479532163743
2024-09-30,-1.0,752.5002185696483,-0.04671546181364683,0.417037037037037,-1.0,-0.0313479623824451
2024-10-08,1.0,769.9912422605173,-0.020678115900516693,0.4298148148148148,-1.0,0.0091324200913243
2024-10-09,1.0,744.5901380519424,0.13473135866553057,0.4288888888888889,-1.0,-0.006544502617801
2024-10-10,1.0,743.5291025345205,-0.10986122857051461,0.4373148148148147,-1.0,0.0427408412483039
2024-10-11,-1.0,759.0853221580493,0.09359010842200274,0.4298148148148148,-1.0,0.03382949932341
2024-10-14,1.0,746.6801524079772,0.06352312718982625,0.4262962962962963,-1.0,0.1073871409028728
2024-10-15,-1.0,749.4471646697845,0.020273255294297177,0.4252777777777777,-1.0,0.1055858310626702
2024-10-16,1.0,752.9809181897605,-0.007155042175196002,0.4256481481481481,-1.0,0.2157413914265635
2024-10-17,1.0,761.0966378228609,-0.04680466789773237,0.4315740740740741,-1.0,0.1807580174927114
2024-10-18,-1.0,519.235267636834,0.05613549197945111,0.4360185185185185,-1.0,0.10828025477707
2024-10-21,-1.0,521.8325502748135,-0.009116077828586566,0.4399074074074074,-1.0,0.1173222912353346
2024-10-22,-1.0,515.0370451673713,-0.03865949432193043,0.4384259259259259,-1.0,0.120677966101695
2024-10-23,-1.0,504.51090176526407,0.020273255383186074,0.4477777777777778,-1.0,0.0990033222591362
2024-10-24,1.0,494.16995797844794,-0.04825404464741736,0.4504629629629629,-1.0,0.1044474393530996
2024-10-25,-1.0,491.7744455165984,-0.011157177515710414,0.4524999999999999,-1.0,0.0642570281124497
2024-10-28,-1.0,483.5093070458933,-0.0720180789499176,0.4625925925925926,-1.0,0.0489556135770234
2024-10-29,1.0,480.72040237871937,0.006860056068132825,0.4673148148148148,-1.0,0.0500667556742322
2024-10-30,1.0,472.1242588445055,-0.03233135815967245,0.4626851851851852,-1.0,0.0629654705484088
2024-10-31,-1.0,469.1046903691283,-0.011157177540710416,0.4604629629629629,-1.0,0.0487641950567803
2024-11-01,-1.0,441.8468268767499,-0.14016801810593274,0.4610185185185185,-1.0,0.0267973856209149
2024-11-04,-1.0,422.8972750718049,0.065865074384028,0.4589814814814815,-1.0,0.0135922330097086
2024-11-05,-1.0,398.38489719841215,0.17169935925651547,0.4570370370370371,-1.0,0.0084033613445377
2024-11-06,1.0,380.13155617496415,-0.08789289554658411,0.460462962962963,-1.0,0.005270092226614
2024-11-07,-1.0,345.9611896395925,0.052227253301665645,0.4666666666666667,-1.0,-0.0045543266102797
2024-11-08,1.0,337.06355796090315,-0.040546510533038635,0.4668518518518519,-1.0,0.0032722513089005
2024-11-11,-1.0,494.4610968678825,-0.0869135391108314,0.4747222222222222,-1.0,-0.0512662137121679
2024-11-12,-1.0,497.61767981368774,0.020273255238741662,0.4745370370370371,-1.0,-0.0560690080098582
2024-11-13,-1.0,658.8104810945254,-0.04330831720882637,0.4836111111111111,-1.0,-0.1138728323699421
2024-11-14,1.0,785.5856012186738,-0.03843273663237057,0.4912037037037037,-1.0,-0.0487654320987653
2024-11-15,1.0,792.293265414425,-0.013770598981254812,0.4911111111111111,-1.0,-0.0319284802043422
2024-11-18,-1.0,798.357689259645,-0.019338648736980813,0.5015740740740741,-1.0,-0.0611488573193329
2024-11-19,-1.0,796.2122501999206,-0.013413199311634361,0.5070370370370371,-1.0,-0.0901391409558378
2024-11-20,-1.0,820.3767988584655,0.17005986714977456,0.5032407407407408,-1.0,-0.1008464328899637
2024-11-21,1.0,824.48049831713,0.016823611792965452,0.4958333333333333,-1.0,-0.097986577181208
2024-11-22,1.0,814.4218162210797,-0.0794617600966453,0.4947222222222222,-1.0,-0.0203773584905659
2024-11-25,-1.0,821.9150855743778,0.040218640718493084,0.4896296296296296,-1.0,-0.0394523957685127
2024-11-26,1.0,821.9150855743778,6.661338147750939e-17,0.487962962962963,-1.0,-0.0057215511760966
2024-11-27,1.0,838.6029657773255,0.09729550688133715,0.4802777777777777,-1.0,-0.0127388535031847
2024-11-28,0.0,857.5698145586196,1.0015059329193234,0.4697222222222222,-1.0,-0.0124840764331209
2024-11-29,-1.0,877.1693034084726,0.1748253761339303,0.4703703703703704,-1.0,-0.0260980267345639
2024-12-02,1.0,885.4182404526777,0.054930614166738945,0.4626851851851852,-1.0,0.0002554278416346
2024-12-03,1.0,881.2548992025071,-0.05493061376673871,0.4518518518518518,-1.0,-0.0115384615384614
2024-12-04,1.0,881.1289110537326,-0.007953234721342285,0.4461111111111112,-1.0,0.0196592398427259
2024-12-05,-1.0,892.4933657427022,0.07790723050759082,0.4487962962962963,-1.0,-0.0015686274509804
2024-12-06,-1.0,898.0928257614635,0.054930613988961194,0.4444444444444445,-1.0,0.0131767775603393
2024-12-09,-1.0,838.242012221191,0.1706123602477485,0.4335185185185185,-1.0,0.0263020833333333
2024-12-10,1.0,838.242012221191,1.3322676295501878e-16,0.4301851851851851,-1.0,0.0075718015665795
2024-12-11,-1.0,703.4442988460047,0.23364143974178705,0.4192592592592593,-1.0,0.020743639921722
2024-12-12,-1.0,475.8285709658135,0.13105194097381095,0.4193518518518518,-1.0,0.0112913692407528
2024-12-13,1.0,425.50279855595215,0.03850541104184089,0.4111111111111111,-1.0,0.0390501319261213
2024-12-16,-1.0,365.49128796586547,0.12919987715934758,0.4062962962962963,-1.0,0.0407894736842104
2024-12-17,1.0,343.958668722673,0.03768859005264269,0.4054629629629629,-1.0,0.0672872340425532
2024-12-18,1.0,339.1731431770968,-0.14106894243950818,0.3977777777777778,-1.0,0.0739644970414201
2024-12-19,1.0,339.4045676273606,0.02666492388696322,0.3973148148148148,-1.0,0.0922619047619046
2024-12-20,-1.0,465.78061246403144,-0.024007800019923753,0.4118518518518518,-1.0,0.0364663585002567
2024-12-23,1.0,465.3704664593912,0.009707800696837942,0.4141666666666667,-1.0,0.0173620108836485
2024-12-24,-1.0,451.6620621892572,0.025541281149084005,0.4107407407407407,-1.0,0.0127877237851663
2024-12-25,1.0,447.9738009256672,-0.07702225152354777,0.4127777777777777,-1.0,0.0268387096774194
2024-12-26,-1.0,447.5868042831702,-0.8059047875479155,0.4072222222222222,-1.0,0.0265737874097007
2024-12-27,1.0,443.05124748130055,-0.15077674314054773,0.4130555555555555,-1.0,0.0407843137254901
2024-12-30,-1.0,455.84046147285926,-0.09925654276537474,0.4121296296296296,-1.0,-0.0025536261491317
2024-12-31,1.0,454.2709601803286,-0.07014118290218888,0.4063888888888888,-1.0,0.0051880674448767
2025-01-02,-1.0,443.0385512511712,0.0443651596660116,0.4131481481481481,-1.0,0.0
2025-01-03,1.0,442.58540656608074,-0.098004738772786,0.4088888888888889,-1.0,0.0290652003142184
2025-01-06,-1.0,436.9646348450444,-0.10719900255232866,0.4176851851851851,-1.0,-0.0046355910378573
2025-01-07,-1.0,428.3720714273366,-0.10227699891974792,0.4248148148148148,-1.0,-0.0167470185232174
2025-01-08,1.0,424.99721361315676,-0.10520670727448596,0.4322222222222222,-1.0,0.0015548069448043
2025-01-09,-1.0,408.99065424916216,-0.15270005717823798,0.4294444444444444,-1.0,-0.0186605316973414
2025-01-10,1.0,410.84084189430445,0.011157177503210524,0.4175925925925926,-1.0,-0.0097535934291581
2025-01-13,-1.0,411.146023489926,0.019874846883901797,0.412037037037037,-1.0,-0.0215845606907059
2025-01-14,-1.0,407.58434709885483,-0.026531412347226134,0.4040740740740741,-1.0,-0.02275600505689
2025-01-15,-1.0,406.4904349233944,-0.018578177782831017,0.4044444444444444,-1.0,-0.0383752803388985
2025-01-16,1.0,412.87789707701313,0.03709686710551652,0.3958333333333333,-1.0,-0.0405709992486852
2025-01-17,-1.0,407.05973957018546,-0.03465735891436088,0.397962962962963,-1.0,-0.0497894476096111
2025-01-20,1.0,247.87730411382287,0.2644133465599796,0.3943518518518518,-1.0,-0.0505450941526263
2025-01-21,1.0,286.75085463094746,-0.05725661511774751,0.3941666666666666,-1.0,-0.0320937340804891
2025-01-22,-1.0,288.34555293039745,0.02027325535638864,0.3912037037037036,-1.0,-0.0386363636363636
2025-01-23,-1.0,294.07124092104266,0.03054545399584794,0.389537037037037,-1.0,-0.0550389545111836
2025-01-24,0.0,294.8911485170147,0.805904787547916,0.3827777777777778,-1.0,-0.0525257602412666
2025-01-27,-1.0,310.7529057322754,0.16193392020625835,0.3731481481481481,-1.0,-0.0547601105249937
2025-02-05,1.0,299.8578610643801,0.009668569637305512,0.3768518518518519,-1.0,-0.0355862775217613
2025-02-06,1.0,297.9296985249334,0.03384433290508526,0.3799074074074074,-1.0,-0.0090322580645161
2025-02-07,-1.0,303.5647854204572,0.042364892828884095,0.3756481481481481,-1.0,-0.0215938303341902
2025-02-10,-1.0,295.0196246817629,0.02869002109179162,0.3761111111111111,-1.0,-0.0361323155216285
2025-02-11,1.0,295.4728592042179,-0.0007752093255962045,0.3831481481481481,-1.0,-0.0173350582147477
2025-02-12,-1.0,298.7887829924428,0.08789289546382575,0.3704629629629629,-1.0,-0.024516129032258
2025-02-13,1.0,284.36262986397793,0.10520670727448614,0.3692592592592592,-1.0,-0.0253557567917205
2025-02-14,1.0,280.80476454197407,0.035609768678564094,0.357037037037037,-1.0,-0.0161500390726752
2025-02-17,-1.0,279.99812029444206,-0.008592512796990715,0.3456481481481482,-1.0,-0.0119232763089683
2025-02-18,1.0,285.1495452528279,0.10641158441151115,0.3324074074074074,-1.0,-0.0215416558525823
2025-02-19,-1.0,286.569546991926,0.01741533459086191,0.3222222222222222,-1.0,-0.0271668822768434
2025-02-20,1.0,283.207195864571,0.11343417631879191,0.3116666666666666,-1.0,-0.0507903601969421
2025-02-21,1.0,282.7012557453536,-0.01682361175963192,0.315,-1.0,-0.0441138084051161
2025-02-24,-1.0,284.2399838535255,0.10873758518784456,0.3134259259259259,-1.0,-0.0391032325338894
2025-02-25,1.0,282.94689849585,-0.06931471430599465,0.3010185185185185,-1.0,-0.0370563674321503
2025-02-26,1.0,203.33793494936822,0.06173722303883922,0.2987962962962963,-1.0,-0.02
2025-02-27,-1.0,203.84398058577165,0.07902251821081567,0.292037037037037,-1.0,-0.0231153138954557
2025-02-28,1.0,212.16862707711826,-0.04528543097040585,0.2983333333333333,-1.0,-0.0159574468085106
2025-03-03,-1.0,207.8581246908569,-0.921034037697618,0.3011111111111111,-1.0,-0.016445623342175
2025-03-04,1.0,205.55700963607669,-0.06263814663905402,0.3008333333333333,-1.0,-0.0119585437151209
2025-03-05,-1.0,168.43786922623278,0.14655968643748782,0.3021296296296296,-1.0,-0.0265463233342182
2025-03-06,-1.0,205.98607515532342,-0.042823611740364934,0.312962962962963,-1.0,-0.0473958333333333
2025-03-07,1.0,207.32887680661983,-0.04091551598942289,0.3088888888888889,-1.0,-0.0664739884393064
2025-03-10,1.0,203.18257281257328,0.03992538465811098,0.3089814814814814,-1.0,-0.0723336853220697
2025-03-11,-1.0,176.04649505472253,0.09359010842200284,0.3103703703703703,-1.0,-0.0797788309636651
2025-03-12,1.0,174.95488140179341,-0.02938933302288358,0.3112037037037037,-1.0,-0.0669312169312169
2025-03-13,1.0,174.29255502413727,-0.013118213107989819,0.3136111111111111,-1.0,-0.0674276612689143
2025-03-14,-1.0,174.533965929723,0.04777557194367967,0.3159259259259259,-1.0,-0.0632777336510458
2025-03-17,-1.0,178.5880293035514,-0.030545453995847738,0.3194444444444445,-1.0,-0.0724029380902413
2025-03-18,1.0,182.55136263528632,-0.10641158441151086,0.3187037037037037,-1.0,-0.06657824933687
2025-03-19,1.0,183.109831866876,0.00911607775636456,0.3168518518518519,-1.0,-0.063031914893617
2025-03-20,1.0,246.78138631505163,-0.13914757468197927,0.3255555555555556,-1.0,-0.042042042042042
2025-03-21,1.0,252.48814458879954,0.166610220687332,0.3212037037037037,-1.0,-0.0578918623702894
2025-03-24,-1.0,248.5664159895591,-0.07843079510402548,0.3254629629629629,-1.0,-0.0797612588171459
2025-03-25,-1.0,248.5664159895591,1.3322676295501878e-16,0.3116666666666666,-1.0,-0.0653116531165312
