date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close
2025-11-07,27332.0,-1900.0,420.0,0.7163039262721652,490951.0,1,0.9978,82300.0
2025-11-10,27491.0,-6490.0,200.0,0.7405907626514695,534483.0,1,0.9999,87240.0
2025-11-11,28099.0,-4240.0,240.0,0.7316780698205444,526493.0,1,0.9997,86540.0
2025-11-12,28287.0,-3280.0,40.0,0.7024950672744379,528966.0,1,1.0,86580.0
2025-11-13,27508.0,-3490.0,-100.0,0.7134759163978445,536514.0,3,1.0,87840.0
2025-11-14,27170.0,-2210.0,40.0,0.7091724625883414,516778.0,3,1.0,87360.0
2025-11-17,26953.0,-9050.0,100.0,0.8328779598675896,562954.0,3,1.0,95200.0
2025-11-18,26611.0,-6120.0,260.0,0.8751530949650975,484357.0,3,0.9986,93520.0
2025-11-19,26766.0,-10400.0,-140.0,1.010283532195146,503132.0,3,1.0,99300.0
2025-11-20,26916.0,-7680.0,60.0,1.123158281058326,479602.0,3,1.0,98980.0
2025-11-21,26848.0,1280.0,-20.0,1.1092524876488854,411327.0,3,0.9993,91020.0
2025-11-24,26510.0,1670.0,20.0,1.1056777094662893,365078.0,2,0.9504,90480.0
2025-11-25,26615.0,-3350.0,-60.0,1.132938392340756,343199.0,3,0.9746,95400.0
2025-11-26,27050.0,-3540.0,-160.0,1.1667089014666625,478054.0,3,1.0,96340.0
2025-11-27,26781.0,-2520.0,40.0,1.186790127643021,507882.0,3,1.0,95820.0
2025-11-28,5441.0,-2670.0,200.0,1.1727095608519422,526998.0,3,0.9979,96420.0
2025-12-01,8222.0,-2590.0,180.0,1.1655570221440752,543633.0,3,0.9999,96940.0
2025-12-02,8992.0,-2160.0,-100.0,1.0756137338101377,552239.0,3,1.0,96560.0
2025-12-03,9652.0,690.0,180.0,0.9500017208696542,562836.0,3,1.0,93660.0
2025-12-04,10422.0,300.0,380.0,0.8221674827911025,560629.0,3,1.0,93700.0
2025-12-05,10922.0,1090.0,300.0,0.7042905919113838,560676.0,3,1.0,92160.0
