date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2024-02-27,106650.000000,0.012658,0.120019,0.045945,1.000000,2175.000000,-1.000000,-5250.000000,-5.406797,97100.000000,246221.000000,191979.000000,0.149246,0.061722,0.068102,0.434300,0.830200,-1.846000,0.115400,,0.748100,0.056400,,
2024-02-28,108000.000000,0.103704,0.088889,0.055556,1.000000,675.000000,-1.000000,-11700.000000,-11.938776,98000.000000,376684.000000,190062.000000,0.114551,0.111683,0.058824,0.434300,0.830200,-1.846000,0.127600,,0.420200,-0.006700,,
2024-02-29,119200.000000,0.002097,-0.064178,-0.052013,1.000000,4525.000000,-1.000000,-13800.000000,-13.869347,99500.000000,590362.000000,209410.000000,0.220686,0.220686,0.164631,0.311700,0.320400,-1.916900,0.160000,,0.030700,-0.218800,,
2024-03-01,119450.000000,-0.015488,-0.045626,-0.051067,1.000000,125.000000,-1.000000,-16850.000000,-16.439024,102500.000000,445315.000000,205233.000000,0.173379,0.240395,0.178589,0.311700,0.320400,-1.916900,0.213000,,-0.032100,-0.220800,,
2024-03-04,117600.000000,-0.051446,-0.039116,-0.010204,1.000000,-925.000000,-1.000000,-18300.000000,-17.264151,106000.000000,669592.000000,208233.000000,0.149560,0.241161,0.168405,0.311700,0.320400,-1.916900,0.261000,,-0.229900,-0.250700,,
2024-03-05,111550.000000,0.021963,0.016136,0.074406,1.000000,-3025.000000,-1.000000,-9250.000000,-8.604651,107500.000000,472377.000000,202406.000000,0.045945,0.202047,0.094164,0.311700,0.320400,-1.916900,0.290700,,-0.053300,-0.209500,,
2024-03-06,114000.000000,-0.008772,0.021053,0.042105,1.000000,1225.000000,-1.000000,-4250.000000,-3.953488,107500.000000,507862.000000,212004.000000,0.055556,0.176471,0.128713,0.311700,0.320400,-1.916900,0.278800,,0.042000,-0.192800,,
2024-03-07,113000.000000,0.003097,0.060619,-0.007965,1.000000,-500.000000,-1.000000,-4900.000000,-4.516129,108500.000000,365677.000000,215643.000000,-0.052013,0.157194,0.139687,-0.096900,0.320400,-1.781100,0.305000,,0.111700,-0.228200,,
2024-03-08,113350.000000,0.026908,0.048081,0.014998,1.000000,175.000000,-1.000000,-3850.000000,-3.535354,108900.000000,314274.000000,217323.000000,-0.051067,0.113458,0.138052,-0.096900,0.320400,-1.781100,0.325900,,0.128300,-0.220700,,
2024-03-11,116400.000000,0.029639,-0.036942,0.004296,1.000000,1525.000000,-1.000000,-6050.000000,-5.537757,109250.000000,362739.000000,229549.000000,-0.010204,0.137830,0.162257,-0.096900,0.320400,-1.781100,0.333600,,0.081900,-0.228400,,
